             X1           X2  iris[, 5]
1   -2.684125626  0.319397247     setosa
2   -2.714141687 -0.177001225     setosa
3   -2.888990569 -0.144949426     setosa
4   -2.745342856 -0.318298979     setosa
5   -2.728716537  0.326754513     setosa
6   -2.280859633  0.741330449     setosa
7   -2.820537751 -0.089461385     setosa
8   -2.626144973  0.163384960     setosa
9   -2.886382732 -0.578311754     setosa
10  -2.672755798 -0.113774246     setosa
11  -2.506947091  0.645068899     setosa
12  -2.612755231  0.014729939     setosa
13  -2.786109266 -0.235112000     setosa
14  -3.223803744 -0.511394587     setosa
15  -2.644750390  1.178764636     setosa
16  -2.386039034  1.338062330     setosa
17  -2.623527875  0.810679514     setosa
18  -2.648296706  0.311849145     setosa
19  -2.199820324  0.872839039     setosa
20  -2.587986400  0.513560309     setosa
21  -2.310256215  0.391345936     setosa
22  -2.543705229  0.432996063     setosa
23  -3.215939416  0.133468070     setosa
24  -2.302733182  0.098708855     setosa
25  -2.355754049 -0.037281860     setosa
26  -2.506668907 -0.146016880     setosa
27  -2.468820073  0.130951489     setosa
28  -2.562319906  0.367718857     setosa
29  -2.639534715  0.312039980     setosa
30  -2.631989387 -0.196961225     setosa
31  -2.587398477 -0.204318491     setosa
32  -2.409932497  0.410924264     setosa
33  -2.648862334  0.813363820     setosa
34  -2.598736749  1.093145759     setosa
35  -2.636926878 -0.121322348     setosa
36  -2.866241652  0.069364472     setosa
37  -2.625238050  0.599370021     setosa
38  -2.800684115  0.268643738     setosa
39  -2.980502044 -0.487958344     setosa
40  -2.590006314  0.229043837     setosa
41  -2.770102426  0.263527534     setosa
42  -2.849368705 -0.940960574     setosa
43  -2.997406547 -0.341926057     setosa
44  -2.405614485  0.188871429     setosa
45  -2.209489238  0.436663142     setosa
46  -2.714451427 -0.250208204     setosa
47  -2.538148259  0.503771144     setosa
48  -2.839462168 -0.227945569     setosa
49  -2.543085750  0.579410022     setosa
50  -2.703359782  0.107706082     setosa
51   1.284825689  0.685160470 versicolor
52   0.932488532  0.318333638 versicolor
53   1.464302322  0.504262815 versicolor
54   0.183317720 -0.827959012 versicolor
55   1.088103258  0.074590675 versicolor
56   0.641669084 -0.418246872 versicolor
57   1.095060663  0.283468270 versicolor
58  -0.749122670 -1.004890961 versicolor
59   1.044131826  0.228361900 versicolor
60  -0.008745404 -0.723081905 versicolor
61  -0.507840884 -1.265971191 versicolor
62   0.511698557 -0.103981235 versicolor
63   0.264976508 -0.550036464 versicolor
64   0.984934510 -0.124817854 versicolor
65  -0.173925372 -0.254854209 versicolor
66   0.927860781  0.467179494 versicolor
67   0.660283762 -0.352969666 versicolor
68   0.236104993 -0.333610767 versicolor
69   0.944733728 -0.543145551 versicolor
70   0.045226976 -0.583834377 versicolor
71   1.116283177 -0.084616852 versicolor
72   0.357888418 -0.068925032 versicolor
73   1.298183875 -0.327787308 versicolor
74   0.921728922 -0.182737794 versicolor
75   0.714853326  0.149055944 versicolor
76   0.900174373  0.328504474 versicolor
77   1.332024437  0.244440876 versicolor
78   1.557802155  0.267495447 versicolor
79   0.813290650 -0.163350301 versicolor
80  -0.305583778 -0.368262190 versicolor
81  -0.068126492 -0.705172132 versicolor
82  -0.189622472 -0.680286764 versicolor
83   0.136428712 -0.314032438 versicolor
84   1.380026436 -0.420954287 versicolor
85   0.588006443 -0.484287420 versicolor
86   0.806858313  0.194182315 versicolor
87   1.220690882  0.407619594 versicolor
88   0.815095236 -0.372037060 versicolor
89   0.245957680 -0.268524397 versicolor
90   0.166413217 -0.681926725 versicolor
91   0.464800288 -0.670711545 versicolor
92   0.890815198 -0.034464444 versicolor
93   0.230548024 -0.404385848 versicolor
94  -0.704531759 -1.012248228 versicolor
95   0.356981495 -0.504910093 versicolor
96   0.331934480 -0.212654684 versicolor
97   0.376215651 -0.293218929 versicolor
98   0.642576008  0.017738190 versicolor
99  -0.906469865 -0.756093367 versicolor
100  0.299000842 -0.348897806 versicolor
101  2.531192728 -0.009849109  virginica
102  1.415235877 -0.574916348  virginica
103  2.616676016  0.343903151  virginica
104  1.971531053 -0.179727904  virginica
105  2.350005920 -0.040260947  virginica
106  3.397038736  0.550836673  virginica
107  0.521232244 -1.192758727  virginica
108  2.932587069  0.355500003  virginica
109  2.321228817 -0.243831502  virginica
110  2.916750967  0.782791949  virginica
111  1.661774154  0.242228408  virginica
112  1.803401953 -0.215637617  virginica
113  2.165591796  0.216275585  virginica
114  1.346163579 -0.776818347  virginica
115  1.585928224 -0.539640714  virginica
116  1.904456375  0.119250692  virginica
117  1.949689059  0.041943260  virginica
118  3.487055364  1.175739330  virginica
119  3.795645422  0.257322973  virginica
120  1.300791713 -0.761149636  virginica
121  2.427817913  0.378196013  virginica
122  1.199001105 -0.606091528  virginica
123  3.499920039  0.460674099  virginica
124  1.388766132 -0.204399327  virginica
125  2.275430504  0.334990606  virginica
126  2.614090474  0.560901355  virginica
127  1.258508161 -0.179704795  virginica
128  1.291132059 -0.116668651  virginica
129  2.123608723 -0.209729477  virginica
130  2.388003016  0.464639805  virginica
131  2.841672778  0.375269167  virginica
132  3.230673661  1.374165087  virginica
133  2.159437642 -0.217277579  virginica
134  1.444161242 -0.143413410  virginica
135  1.781294810 -0.499901681  virginica
136  3.076499932  0.688085678  virginica
137  2.144243314  0.140064201  virginica
138  1.905098149  0.049300526  virginica
139  1.169326339 -0.164990262  virginica
140  2.107611143  0.372287872  virginica
141  2.314154705  0.183651279  virginica
142  1.922267801  0.409203467  virginica
143  1.415235877 -0.574916348  virginica
144  2.563013375  0.277862603  virginica
145  2.418746183  0.304798198  virginica
146  1.944109795  0.187532303  virginica
147  1.527166615 -0.375316983  virginica
148  1.764345717  0.078858855  virginica
149  1.900941614  0.116627959  virginica
150  1.390188862 -0.282660938  virginica
